Team,Nationality,Position,Age,Potential,Name 
FBC Melgar ,Peru,Medio centro ofensivo|Medio centro,21,Muy bueno,Jesús Pretell
Gil Vicente FC ,Colombia,Lateral izquierdo,23,Bueno,Edwin Banguera
Toulouse Football Club ,France,Medio centro,19,Muy bueno,Kouadio Manu Koné
AS Saint-Étienne ,France,Defensa central|Medio centro ofensivo,19,Muy bueno,Wesley Fofana
UD Las Palmas ,Spain,Medio derecho|Medio izquierdo,24,Bueno,Cristian Cedrés
AZ ,Netherlands,Extremo izquierdo|Extremo izquierdo,20,Muy bueno,Zakaria Aboukhlal
Universidad de Chile ,Chile,Medio centro,22,Bueno,Sebastián Galani
Fotbal Club Voluntari ,Romania,Medio izquierdo|Medio centro ofensivo|Extremo izquierdo,20,Muy bueno,Alexandru Ma?an
Fotbal Club FCSB ,Romania,Medio centro|Medio centro ofensivo|Extremo izquierdo,25,Bueno,Ionut Vîna
Fotbal Club Viitorul Constan?a ,Romania,Defensa central|Medio centro ofensivo|Medio centro,26,Bueno,Andrei Artean
Fotbal Club Viitorul Constan?a ,Romania,Defensa central|Medio centro ofensivo,24,Bueno,Paul Iacob
Fotbal Club Viitorul Constan?a ,Romania,Lateral derecho|Lateral izquierdo,21,Bueno,Radu Boboc
Clubul Sportiv Gaz Metan Media? ,Romania,Medio centro ofensivo|Medio centro,27,Bueno,Nelu? Ro?u
Fotbal Club Dinamo Bucure?ti ,Romania,Lateral izquierdo,28,Bueno,Andrei Sin
Fotbal Club FCSB ,Romania,Portero,21,Bueno,Andrei Vlad
Clubul Sportiv Gaz Metan Media? ,Romania,Defensa central,33,Bueno,Ionu? Larie
Hebei China Fortune FC ,Hong Kong,Defensa central,32,Bueno,Andrew Russell
Fotbal Club Voluntari ,Romania,Medio derecho|Medio izquierdo|Medio centro ofensivo,20,Muy bueno,Ion Gheorghe
Inter ,Italy,Delantero Centro,18,Muy bueno,Sebastiano Esposito
Free Agents ,Bolivia,Medio derecho|Medio izquierdo|Medio centro ofensivo,21,Muy bueno,Ramiro Vaca
CD Lugo ,Mauritania,Medio centro ofensivo|Medio centro,22,Bueno,Moctar El Hacen
FC Cincinnati ,Costa Rica,Medio centro ofensivo|Medio centro,24,Bueno,Allan Cruz
R. Valladolid CF ,Spain,Lateral derecho|Medio derecho,20,Muy bueno,Apa
Independiente ,Argentina,Defensa central,22,Muy bueno,Francisco Delorenzi
CD Numancia ,Spain,Lateral derecho|Lateral izquierdo|Medio izquierdo,21,Bueno,Álex Sola
Colo-Colo ,Peru,Medio derecho|Extremo izquierdo,30,Bueno,Gabriel Costa
Oita Trinita ,Japan,Medio derecho|Medio izquierdo,28,Bueno,Tatsuya Tanaka
Moreirense FC ,Guinea,Medio centro ofensivo|Medio centro,21,Bueno,Ibrahima Camará
Livingston FC ,Australia,Delantero Centro,24,Bueno,Lyndon Dykes
Sanfrecce Hiroshima ,Japan,Defensa central,23,Bueno,Hayato Araki
Futebol Clube de Famalicão ,Ghana,Medio centro,22,Bueno,Lawrence Ofori
OGC Nice ,France,Medio centro ofensivo|Medio centro,19,Bueno,Khéphren Thuram
Atalanta ,Italy,Lateral derecho,20,Muy bueno,Raoul Bellanova
Wisla Kraków ,Montenegro,Medio centro ofensivo,26,Bueno,Vukan Savicevic
KV Kortrijk ,Brazil,Lateral derecho|Defensa central,21,Bueno,Tuta
Moreirense FC ,Portugal,Lateral izquierdo,22,Bueno,Abdu Conté
RSC Anderlecht ,Belgium,Lateral izquierdo|Medio centro ofensivo|Medio centro,21,Bueno,Sieben Dewaele
Club Atlético Lanús ,Argentina,Lateral izquierdo|Medio izquierdo|Extremo izquierdo,19,Muy bueno,Alexander Bernabei
Al Ain FC ,United Arab Emirates,Medio centro|Medio centro ofensivo,31,Bueno,Mohammed Abdulrahman
Al Ain FC ,United Arab Emirates,Defensa central,37,Bueno,Ismail Ahmed
MKE Ankaragücü ,Luxembourg,Delantero Centro|Extremo izquierdo,25,Bueno,Gerson Rodrigues
CD Lugo ,Spain,Medio centro ofensivo|Medio centro,23,Bueno,Jaume Grau
F.C. Tokyo ,Japan,Defensa central,23,Bueno,Tsuyoshi Watanabe
Kashima Antlers ,Japan,Lateral derecho|Lateral izquierdo,24,Bueno,Rikuto Hirose
Atlanta United ,Uruguay,Medio derecho|Media punta|Extremo izquierdo,24,Bueno,Manuel Castro
FC Red Bull Salzburg ,Mali,Medio centro ofensivo|Medio centro,20,Bueno,Mohamed Camara
KSV Cercle Brugge ,France,Lateral derecho,20,Muy bueno,Giulian Biancone
1. FC Köln ,Germany,Lateral izquierdo,19,Muy bueno,Noah Katterbach
Bristol City ,France,Medio centro ofensivo|Medio centro,19,Muy bueno,Han-Noah Massengo
Shimizu S-Pulse ,Japan,Delantero Centro|Medio centro ofensivo|Media punta,27,Bueno,Yusuke Goto
Vélez Sarsfield ,Argentina,Delantero Centro|Extremo izquierdo|Extremo izquierdo,20,Bueno,Luca Orellano
Seattle Sounders FC ,Ecuador,Defensa central,25,Bueno,Xavier Arreaga
Club Nacional ,Paraguay,Portero,24,Bueno,Santiago Rojas
Viking FK ,Kosovo,Medio centro|Extremo izquierdo,24,Bueno,Ylldren Ibrahimaj
Girona FC ,Spain,Carrilero derecho|Lateral derecho|Medio izquierdo|Extremo izquierdo,20,Bueno,Valery
Orlando Pirates ,South Africa,Lateral derecho|Defensa central|Medio centro ofensivo,33,Bueno,Alfred Ndengane
Puebla ,Bolivia,Defensa central,22,Bueno,Luis Haquin
Rayo Vallecano ,Spain,Delantero Centro|Medio derecho|Medio centro ofensivo,21,Muy bueno,Andrés Martín
Universidad de Chile ,Venezuela,Lateral izquierdo|Defensa central,25,Bueno,Luis Del Pino Mago
Extremadura UD ,Spain,Medio derecho|Medio izquierdo|Medio centro,24,Bueno,Cristian
Real Betis ,Spain,Delantero Centro|Medio derecho|Medio izquierdo,19,Muy bueno,Robert
FC Utrecht ,Ghana,Delantero Centro|Extremo izquierdo|Extremo izquierdo,21,Bueno,Issah Abass
Junior FC ,Colombia,Defensa central,23,Bueno,Willer Ditta
Sanfrecce Hiroshima ,Brazil,Extremo izquierdo|Extremo izquierdo,22,Bueno,Ezequiel
R. Zaragoza ,Spain,Medio derecho|Medio izquierdo,21,Bueno,Álex Blanco
UD Almería ,Spain,Lateral derecho,32,Bueno,Romera
SSV Jahn Regensburg ,England,Lateral izquierdo,23,Bueno,Chima Okoroji
Cremona ,Nigeria,Medio centro,20,Muy bueno,Kingsley Michael
Universidad Católica ,Chile,Medio centro,21,Bueno,Ignacio Saavedra
West Ham United ,Portugal,Defensa central,19,Bueno,Gonçalo Cardoso
RC Celta ,Spain,Delantero Centro|Medio derecho,25,Bueno,Juan Hernández
Livorno ,Italy,Defensa central,26,Bueno,Matteo Di Gennaro
UD Almería ,Spain,Defensa central,24,Bueno,Juan Ibiza
Ulsan Hyundai Horang-i ,Korea Republic,Medio centro|Medio centro ofensivo,23,Bueno,Lee Dong Kyung
Club Tijuana ,Mexico,Carrilero derecho|Lateral derecho|Extremo izquierdo,21,Bueno,Vladimir Loroña
SCR Altach ,Austria,Medio derecho|Medio izquierdo|Medio centro ofensivo,24,Bueno,Manfred Fischer
RC Deportivo ,Spain,Defensa central,21,Muy bueno,Montero
FC Sochaux-Montbéliard ,France,Medio izquierdo|Medio centro|Medio centro ofensivo,20,Muy bueno,Sofiane Diop
Atalanta ,Germany,Lateral izquierdo|Medio izquierdo,21,Bueno,Lennart Czyborra
Nagoya Grampus ,Japan,Delantero Centro,27,Bueno,Ryogo Yamasaki
Racing Club de Lens ,Guinea,Extremo izquierdo,22,Bueno,Jules Keita
Desportivo das Aves ,Chad,Delantero Centro,22,Bueno,Marius Mouandilmadji
SK Rapid Wien ,Croatia,Defensa central,26,Bueno,Mateo Barac
SC Paderborn 07 ,Germany,Medio izquierdo,20,Muy bueno,Dennis Jastrzembski
SV Wehen Wiesbaden ,Germany,Medio centro ofensivo|Medio centro,23,Bueno,Paterson Chato
FC Basel 1893 ,Switzerland,Delantero Centro,24,Bueno,Kemal Ademi
Dynamo Kyiv ,Ukraine,Medio centro ofensivo|Medio centro,26,Bueno,Oleksandr Andrievskyi
Monterrey ,Mexico,Lateral derecho,24,Bueno,Edson Gutiérrez
Dinamo Zagreb ,Croatia,Medio centro ofensivo|Extremo izquierdo|Extremo izquierdo,19,Muy bueno,Antonio Marin
Dinamo Zagreb ,Croatia,Portero,33,Bueno,Danijel Zagorac
R. Oviedo ,Spain,Medio centro ofensivo|Medio centro,23,Bueno,Jimmy
SV Meppen ,Afghanistan,Lateral izquierdo,28,Bueno,Hassan Amin
CFR Cluj ,Romania,Extremo izquierdo|Extremo izquierdo,21,Bueno,Valentin Costache
FC Sochaux-Montbéliard ,France,Defensa central,20,Muy bueno,Maxence Lacroix
SG Dynamo Dresden ,Germany,Delantero Centro,26,Bueno,Patrick Schmidt
SD Ponferradina ,Spain,Portero,29,Bueno,Manu García
Sint-Truidense VV ,Belgium,Medio centro|Medio centro ofensivo|Media punta,26,Bueno,Alexandre De Bruyn
FC Sochaux-Montbéliard ,France,Medio derecho|Medio izquierdo,27,Bueno,Fabien Ourega
Granada CF ,Colombia,Defensa central,26,Bueno,Neyder Lozano
AS Monaco Football Club SA ,France,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,23,Bueno,Yoann Etienne
Livingston FC ,Scotland,Medio centro|Medio centro ofensivo,28,Bueno,Scott Pittman
VVV-Venlo ,Algeria,Delantero Centro,26,Bueno,Oussama Darfalou
SC Paderborn 07 ,Germany,Delantero Centro|Extremo izquierdo,26,Bueno,Streli Mamba
FSV Zwickau ,Germany,Delantero Centro|Medio izquierdo|Medio centro ofensivo,27,Bueno,Fabio Viteritti
Willem II ,Netherlands,Medio centro ofensivo|Medio centro,23,Bueno,Dries Saddiki
Ajax ,Netherlands,Portero,20,Muy bueno,Kjell Scherpen
Rayo Vallecano ,Spain,Delantero Centro|Medio derecho|Medio izquierdo,23,Bueno,De Frutos
New York Red Bulls ,United States,Delantero Centro|Extremo izquierdo,24,Bueno,Brian White
Universidad Católica ,Chile,Extremo izquierdo|Extremo izquierdo,20,Bueno,César Munder
Waasland-Beveren ,Rwanda,Medio centro ofensivo|Medio centro,23,Bueno,Djihad Bizimana
Real Sociedad ,Spain,Portero,23,Bueno,Zubiaurre
Hellas Verona ,Italy,Medio centro ofensivo|Medio centro,21,Bueno,Andrea Danzi
Ajax ,Netherlands,Medio centro|Medio centro ofensivo,20,Bueno,Jurgen Ekkelenkamp
D.C. United ,Costa Rica,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,27,Bueno,Joseph Mora
Coquimbo Unido ,Argentina,Defensa central,31,Bueno,Federico Pereyra
Queens Park Rangers ,England,Medio derecho|Medio izquierdo,19,Muy bueno,Jack Clarke
FK Austria Wien ,Austria,Delantero Centro|Medio centro ofensivo|Extremo izquierdo,21,Bueno,Dominik Fitz
KRC Genk ,Norway,Medio centro|Medio centro ofensivo,21,Bueno,Kristian Thorstvedt
Atlanta United ,England,Medio centro ofensivo|Medio centro,23,Bueno,Mo Adams
Club River Plate Asunción ,Paraguay,Lateral izquierdo,22,Bueno,Darío Cáceres
Once Caldas ,Colombia,Medio derecho|Medio izquierdo,21,Muy bueno,Johan Carbonero
Orlando City Soccer Club ,Portugal,Lateral izquierdo,22,Bueno,João Moutinho
Racing Club de Lens ,Mali,Defensa central|Medio centro ofensivo|Medio centro,20,Muy bueno,Cheick Doucouré
Shonan Bellmare ,Japan,Medio centro|Media punta,25,Bueno,Temma Matsuda
Vitesse ,Netherlands,Delantero Centro,20,Muy bueno,Thomas Buitink
Atlético Nacional ,Colombia,Medio centro ofensivo|Medio centro,24,Bueno,Sebastián Gómez
Kasimpasa SK ,Portugal,Defensa central,23,Bueno,Jorge Fernandes
Liverpool Fútbol Club ,Uruguay,Lateral izquierdo,25,Bueno,Camilo Cándido
Orlando Pirates ,South Africa,Medio centro|Medio centro ofensivo,29,Bueno,Xola Mlambo
Southampton ,Republic of Ireland,Delantero Centro,20,Muy bueno,Michael Obafemi
Club América ,Mexico,Medio izquierdo|Medio centro|Medio centro ofensivo,23,Bueno,Sebastián Córdova
AD Alcorcón ,Venezuela,Medio izquierdo|Extremo izquierdo,20,Muy bueno,Samuel Sosa
Salerno ,France,Defensa central,26,Bueno,Jean-Claude Billong
Estudiantes de La Plata ,Argentina,Delantero Centro,21,Muy bueno,Mateo Retegui
Newell's Old Boys ,Argentina,Lateral derecho,22,Bueno,Facundo Nadalín
FC Sochaux-Montbéliard ,France,Lateral izquierdo,22,Bueno,Christopher Rocchia
Stade Malherbe Caen ,France,Lateral izquierdo|Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,22,Bueno,Yoël Armougom
FK Austria Wien ,Austria,Medio derecho|Medio izquierdo|Medio centro ofensivo,23,Bueno,Manprit Sarkaria
Hellas Verona ,Italy,Delantero Centro|Media punta,18,Muy bueno,Eddie Salcedo
Fútbol Club Juárez ,Ecuador,Medio centro ofensivo|Medio centro,24,Bueno,Jefferson Intriago
Valencia CF ,Spain,Portero,22,Bueno,Cristian Rivero
Real Betis ,Spain,Portero,22,Bueno,Dani Martín
SCR Altach ,Cameroon,Defensa central|Medio centro ofensivo|Medio centro,22,Bueno,Samuel Oum Gouet
Athlétic Club Ajaccio ,Burkina Faso,Medio derecho|Extremo izquierdo,24,Bueno,Cyrille Bayala
CD Antofagasta ,Uruguay,Medio centro ofensivo,28,Bueno,Gonzalo Freitas
Tottenham Hotspur ,England,Medio centro ofensivo|Medio centro,19,Muy bueno,Oliver Skipp
VfB Stuttgart ,England,Defensa central,23,Bueno,Nathaniel Phillips
Elche CF ,Spain,Delantero Centro,22,Bueno,Escriche
KAS Eupen ,Portugal,Delantero Centro,22,Bueno,Leonardo Rocha
Stoke City ,England,Delantero Centro|Medio derecho,20,Muy bueno,Tyrese Campbell
FC Girondins de Bordeaux ,France,Portero,21,Bueno,Gaëtan Poussin
Club Atlético Huracán ,Argentina,Medio izquierdo,21,Bueno,Martín Ojeda
R. Valladolid CF ,Spain,Delantero Centro,20,Muy bueno,Miguel
En Avant Guingamp ,France,Lateral izquierdo|Defensa central,21,Bueno,Sikou Niakaté
Vitória Setúbal ,Portugal,Lateral izquierdo,22,Bueno,André Sousa
CD O'Higgins ,Argentina,Delantero Centro|Extremo izquierdo,26,Bueno,Gustavo Gotti
Chamois Niortais Football Club ,Burkina Faso,Lateral derecho|Defensa central,25,Bueno,Issouf Paro
Real Racing Club ,France,Portero,22,Bueno,Luca Zidane
Huddersfield Town ,England,Medio derecho|Medio centro ofensivo|Extremo izquierdo,20,Muy bueno,Emile Smith Rowe
Perugia ,Italy,Medio centro,22,Bueno,Marco Carraro
Wisla Plock ,Norway,Medio izquierdo|Medio centro ofensivo|Extremo izquierdo,28,Bueno,Torgil Gjertsen
Barcelona Guayaquil ,Paraguay,Defensa central,27,Bueno,Williams Riveros
Stade Malherbe Caen ,France,Delantero Centro|Media punta,31,Bueno,Malik Tchokounté
Royal Antwerp FC ,Brazil,Defensa central,28,Bueno,Matheus
Lokomotiv Moscow ,Brazil,Defensa central|Medio centro ofensivo,23,Bueno,Murilo
AS Nancy Lorraine ,France,Lateral derecho,28,Bueno,Souleymane Karamoko
Rosenborg BK ,Denmark,Delantero Centro|Medio derecho|Extremo izquierdo,21,Bueno,Carlo Holse
FC Bayern München ,Germany,Delantero Centro|Medio derecho|Medio izquierdo,20,Muy bueno,Jann-Fiete Arp
1. FC Magdeburg ,Germany,Defensa central,26,Bueno,Tobias Müller
AD Alcorcón ,Portugal,Delantero Centro,24,Bueno,Rui Costa
Górnik Zabrze ,Greece,Delantero Centro,25,Bueno,Georgios Giakoumakis
Vitória Setúbal ,Italy,Medio derecho|Medio izquierdo|Extremo izquierdo,21,Bueno,Mirko Antonucci
SpVgg Unterhaching ,Germany,Portero,20,Bueno,Nico Mantl
Cracovia ,Slovakia,Lateral izquierdo,24,Bueno,Michal Siplak
SV Meppen ,Germany,Defensa central|Medio centro ofensivo,31,Bueno,Steffen Puttkammer
Eintracht Braunschweig ,Germany,Medio izquierdo|Extremo izquierdo,25,Bueno,Merveille Biankadi
Perugia ,Italy,Lateral derecho|Lateral izquierdo|Medio derecho,25,Bueno,Pasquale Mazzocchi
IFK Norrköping ,Sweden,Medio derecho|Extremo izquierdo,24,Bueno,Jonathan Levi
Independiente Medellín ,Colombia,Medio centro ofensivo|Medio centro,24,Bueno,Larry Angulo
CF Fuenlabrada ,Spain,Lateral izquierdo,24,Bueno,Glauder
Paris FC ,Burkina Faso,Lateral derecho|Lateral izquierdo,25,Bueno,Yacouba Coulibaly
1. FC Nürnberg ,Germany,Lateral izquierdo|Medio izquierdo,22,Bueno,Tim Handwerker
Hallescher FC ,Germany,Portero,25,Bueno,Kai Eisele
Unión Española ,Chile,Lateral izquierdo|Defensa central,21,Muy bueno,Thomas Galdames
FC Paços de Ferreira ,Portugal,Extremo izquierdo|Extremo izquierdo,23,Bueno,Hélder Ferreira
Yeni Malatyaspor ,Zimbabwe,Defensa central,24,Bueno,Teenage Hadebe
Kaizer Chiefs ,South Africa,Lateral izquierdo|Medio izquierdo|Extremo izquierdo,27,Bueno,Philani Zulu
Orlando Pirates ,South Africa,Lateral izquierdo|Defensa central,27,Bueno,Innocent Maela
Cremona ,Italy,Medio centro,26,Bueno,Francesco Deli
SV Darmstadt 98 ,Germany,Medio izquierdo,23,Bueno,Braydon Manu
1. FC Union Berlin ,Austria,Medio derecho|Extremo izquierdo|Extremo izquierdo,24,Bueno,Florian Flecker
CD Cobresal ,Chile,Medio izquierdo|Extremo izquierdo,24,Bueno,Juan Carlos Gaete
Fotbal Club FCSB ,Romania,Delantero Centro,22,Bueno,Adrian Petre
SCR Altach ,Austria,Delantero Centro|Carrilero derecho|Medio derecho|Extremo izquierdo,26,Bueno,Christian Gebauer
Peterborough United ,Scotland,Delantero Centro|Medio derecho|Medio izquierdo,23,Bueno,Siriki Dembele
FC Ingolstadt 04 ,Germany,Delantero Centro|Medio izquierdo,23,Bueno,Dennis Eckert Ayensa
FC Twente ,Spain,Defensa central|Medio centro ofensivo,21,Muy bueno,Oriol Busquets
Jagiellonia Bialystok ,Croatia,Lateral izquierdo|Defensa central,26,Bueno,Zoran Arsenic
Waasland-Beveren ,Belgium,Lateral derecho|Medio centro ofensivo,23,Bueno,Jur Schryvers
Göztepe SK ,Turkey,Medio derecho|Medio izquierdo,26,Bueno,Halil Akbunar
Waasland-Beveren ,Belgium,Medio derecho|Medio izquierdo,21,Bueno,Aboubakary Koita
Rio Ave FC ,Brazil,Lateral derecho,23,Bueno,Junio
R. Zaragoza ,Spain,Lateral derecho,25,Bueno,Delmás
SV Wehen Wiesbaden ,Germany,Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,26,Bueno,Tobias Schwede
MSV Duisburg ,Germany,Medio izquierdo|Medio centro ofensivo,21,Bueno,Lukas Daschner
1. FC Magdeburg ,Germany,Delantero Centro,32,Bueno,Christian Beck
VfL Osnabrück ,Germany,Delantero Centro,28,Bueno,Benjamin Girth
AS Monaco Football Club SA ,Italy,Delantero Centro,19,Bueno,Pietro Pellegri
SV Sandhausen ,Netherlands,Defensa central,24,Bueno,Jesper Verlaat
SV Darmstadt 98 ,Germany,Lateral derecho,32,Bueno,Patrick Herrmann
FC Würzburger Kickers ,Germany,Defensa central|Medio centro ofensivo,31,Bueno,Daniel Hägele
VfL Osnabrück ,Germany,Delantero Centro|Medio derecho|Medio izquierdo,34,Bueno,Marc Heider
FSV Zwickau ,Germany,Lateral derecho|Medio derecho,24,Bueno,Morris Schröter
Eintracht Braunschweig ,Germany,Delantero Centro|Medio derecho|Extremo izquierdo,28,Bueno,Marcel Bär
Swansea City ,England,Delantero Centro,20,Muy bueno,Rhian Brewster
Athlétic Club Ajaccio ,France,Lateral derecho,22,Bueno,Gédéon Kalulu
Stoke City ,England,Carrilero derecho|Lateral derecho|Extremo izquierdo,21,Bueno,Tom Edwards
Kaizer Chiefs ,South Africa,Portero,25,Bueno,Bruce Bvuma
SpVgg Greuther Fürth ,Sweden,Carrilero derecho|Lateral derecho|Extremo izquierdo,22,Bueno,Felix Beijmo
CD Mirandés ,Spain,Medio centro,25,Bueno,Guridi
Everton ,DR Congo,Medio centro ofensivo|Medio centro,21,Bueno,Beni Baningime
VVV-Venlo ,Netherlands,Medio centro|Medio centro ofensivo|Extremo izquierdo,30,Bueno,Johnatan Opoku
Oita Trinita ,Japan,Lateral derecho|Defensa central,25,Bueno,Yuta Koide
PEC Zwolle ,Netherlands,Extremo izquierdo|Extremo izquierdo,24,Bueno,Vito van Crooij
Esbjerg fB ,Georgia,Medio centro ofensivo,27,Bueno,Lasha Parunashvili
FC Nordsjælland ,Denmark,Medio centro,21,Bueno,Magnus Kofod Andersen
RKC Waalwijk ,Netherlands,Delantero Centro,21,Bueno,Dylan Vente
Shimizu S-Pulse ,Japan,Medio centro ofensivo|Medio centro,29,Bueno,Ryo Takeuchi
Hokkaido Consadole Sapporo ,Japan,Defensa central|Medio centro,31,Bueno,Hiroki Miyazawa
La Equidad ,Colombia,Medio centro ofensivo,27,Bueno,Brayner De Alba
Fotbal Club Voluntari ,Romania,Lateral derecho|Lateral izquierdo|Defensa central,21,Muy bueno,Alexandru Pa?canu
KV Kortrijk ,Serbia,Medio derecho|Medio centro|Medio centro ofensivo,28,Bueno,Jovan Stojanovic
GIF Sundsvall ,Sweden,Medio izquierdo|Media punta,29,Bueno,Omar Eddahri
PEC Zwolle ,Norway,Extremo izquierdo,22,Bueno,Dennis Johnsen
SC Paderborn 07 ,Germany,Medio izquierdo|Medio centro|Medio centro ofensivo,23,Bueno,Abdelhamid Sabiri
Chicago Fire Soccer Club ,United States,Medio centro ofensivo|Medio centro|Medio centro ofensivo,21,Muy bueno,Djordje Mihailovic
Seattle Sounders FC ,Cameroon,Lateral izquierdo,23,Bueno,Nouhou
Barcelona Guayaquil ,Paraguay,Delantero Centro,26,Bueno,Cristian Colmán
New England Revolution ,Slovenia,Defensa central,29,Bueno,Antonio Delamea
Sint-Truidense VV ,United States,Medio centro ofensivo|Medio centro,20,Bueno,Chris Durkin
Perugia ,Romania,Medio centro|Medio centro ofensivo,21,Bueno,Vlad Dragomir
Brighton & Hove Albion ,Republic of Ireland,Delantero Centro,20,Bueno,Aaron Connolly
Sport-Club Freiburg ,Germany,Lateral izquierdo,21,Bueno,Luca Itter
Millonarios FC ,Costa Rica,Delantero Centro,28,Bueno,José Guillermo Ortiz
FC Cincinnati ,United States,Portero,28,Bueno,Spencer Richey
LDU Quito ,Ecuador,Defensa central,26,Bueno,Andersson Ordóñez
Hull City ,England,Medio derecho|Medio izquierdo,21,Bueno,Mallik Wilks
SSV Jahn Regensburg ,Germany,Delantero Centro|Medio izquierdo|Medio centro ofensivo,24,Bueno,Aaron Seydel
SK Brann ,Ivory Coast,Delantero Centro,25,Bueno,Daouda Karamoko Bamba
Málaga CF ,Spain,Defensa central|Medio centro ofensivo|Medio centro,23,Bueno,Luis Muñoz
Barnsley ,England,Delantero Centro|Medio derecho,22,Bueno,Jacob Brown
